rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
RU000A0JRJL7;ЗСД 02;Запад.скор.диаметр АО об.02;Корпоративные облигации;RU000A0JRJL7;4-02-00350-D;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;13.05.2031;;07.06.2011;0;2255;0;0;2;;23.11.2021;10,440;52,06;151;31;182;07.06.2011;1000,0;;2011-06-16;3489;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;107,84;1122,16;852,84;1391,48;819,18;1425,14;785,51;1458,81;24,0;100000;27,0;500000;30,0;10,00;10,00
RU000A0JRTS1;Uranium 01;Uranium One Inc. 01;Корпоративные еврооблигации;RU000A0JRTS1;;3;1000,0;RUB;14300000;0;0;TQCB;Т+: Облигации - безадрес.;24.11.2021;;07.12.2011;1;;0;0;2;;24.11.2021;;;150;32;182;07.12.2011;1000,0;;2011-12-14;32;;Ураниум Уан Инк (Uranium One Inc.);9909350496;1;104,98;1049,8;;2099,6;;2099,6;;2099,6;100,0;;;;;10,00;10,00
RU000A0JRU20;СЗКК 03;Северо-Зап.концес.комп. сер.03;Корпоративные облигации;RU000A0JRU20;4-01-36388-R;3;851,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2031;;21.10.2011;0;1619;0;0;2;;08.04.2022;9,680;41,08;15;167;182;21.10.2011;1000,0;;2011-12-15;3625;;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1;99,44;850,07;;1700,14;;1700,14;;1700,14;100,0;;;;;10,00;10,00
RU000A0JRU46;СЗКК 04;Северо-Зап.концес.комп. сер.04;Корпоративные облигации;RU000A0JRU46;4-02-36388-R;3;851,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2031;;21.10.2011;0;1619;0;0;2;;08.04.2022;9,680;41,08;15;167;182;21.10.2011;1000,0;;2011-12-15;3625;;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1;99,46;850,24;;1700,48;;1700,48;;1700,48;100,0;;;;;10,00;10,00
RU000A0JRVN8;РСХБ 15;"""Россельхозбанк"" (АО) обл.15";Корпоративные облигации;RU000A0JRVN8;41503349B;2;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;26.10.2021;;08.11.2011;0;3;0;0;2;;26.10.2021;7,000;34,9;179;3;182;08.11.2011;1000,0;;2011-11-21;3;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;100,01;1034,81;952,03;1117,59;920,98;1148,64;889,94;1179,68;8,0;400000;11,0;2000000;14,0;8,00;8,00
RU000A0JRVU3;СПбТел 07;Санкт-Пет.Телеком АО обл. 07;Корпоративные облигации;RU000A0JRVU3;4-07-00740-D;3;1000,0;RUB;6000000;0;0;TQCB;Т+: Облигации - безадрес.;05.04.2022;;17.04.2012;0;164;0;0;2;8,77;05.04.2022;9,950;49,61;18;164;182;17.04.2012;1000,0;;2012-05-28;164;;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1;100,5;1010,45;;2020,9;;2020,9;;2020,9;100,0;;;;;10,00;10,00
RU000A0JRZ74;ОткрФКББ03;ПАО ОТКРЫТИЕ ФК Банк БО-03;Биржевые облигации;RU000A0JRZ74;4B020302562B;2;1000,0;RUB;18000000;0;0;TQCB;Т+: Облигации - безадрес.;16.07.2025;;16.07.2013;0;1362;0;0;2;9,15;16.01.2022;0,010;0,05;99;85;184;16.07.2013;1000,0;;2013-07-16;1362;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;72,15;721,53;;1443,06;;1443,06;;1443,06;100,0;;;;;33,00;22,00
RU000A0JS1F5;Промсвб3;Промсвязьбанк ПАО обл.03;Корпоративные облигации;RU000A0JS1F5;40301470B;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;09.12.2021;;22.12.2011;0;;0;0;2;;09.12.2021;4,500;22,44;135;47;182;22.12.2011;1000,0;;2012-02-07;47;;"Публичное акционерное общество ""Промсвязьбанк""";7744000912;1;99,84;1015,29;609,17;1421,41;578,72;1451,86;;2030,58;40,0;100000;43,0;500000;100,0;10,00;10,00
RU000A0JS1W0;ТГК-1 03;ТГК-1 ПАО обл.03;Корпоративные облигации;RU000A0JS1W0;4-03-03388-D;3;1000,0;RUB;2000000;0;0;TQCB;Т+: Облигации - безадрес.;14.12.2021;;27.12.2011;0;;0;0;2;;14.12.2021;6,400;31,91;130;52;182;27.12.2011;1000,0;;2012-02-01;52;;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;1;100,09;1024,05;;2048,1;;2048,1;;2048,1;100,0;;;;;10,00;10,00
RU000A0JS264;ОткрХОЛ 2;Открытие Холдинг АО обл. 02;Корпоративные облигации;RU000A0JS264;4-02-14406-A;3;1000,0;RUB;5000000;0;0;TQRD;Т+: Облигации Д - безадрес.;10.12.2026;;29.12.2011;0;1870;0;1;2;0,0;16.12.2021;0,010;0,05;128;54;182;29.12.2011;1000,0;;2012-02-24;1874;;"Акционерное общество ""Открытие Холдинг""";7708730590;1;5,0;50,0;;100,0;;100,0;;100,0;100,0;;;;;100,00;100,00
